schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,professor_class_access,professor_access_admin_manage,PERMISSIVE,{public},ALL,"((tenant_id = current_tenant_id()) AND (EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = professor_class_access.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = 'admin'::user_role)))))",null
public,professor_class_access,professor_access_select_own,PERMISSIVE,{public},SELECT,((auth.uid() = professor_user_id) AND (tenant_id = current_tenant_id())),null
public,professor_feedback,feedback_insert_staff,PERMISSIVE,{public},INSERT,null,"((tenant_id = current_tenant_id()) AND (EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = professor_feedback.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = ANY (ARRAY['admin'::user_role, 'professor'::user_role]))))))"
public,professor_feedback,feedback_select_own,PERMISSIVE,{public},SELECT,"((tenant_id = current_tenant_id()) AND ((user_id = auth.uid()) OR (professor_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM (profiles child_profile
     JOIN profiles parent_profile ON ((child_profile.parent_guardian_id = parent_profile.id)))
  WHERE ((child_profile.user_id = professor_feedback.user_id) AND (parent_profile.user_id = auth.uid()))))))",null
public,professor_feedback,feedback_update_own,PERMISSIVE,{public},UPDATE,((user_id = auth.uid()) AND (tenant_id = current_tenant_id())),((user_id = auth.uid()) AND (tenant_id = current_tenant_id()))
public,profiles,profiles_admin_update,PERMISSIVE,{public},UPDATE,"((tenant_id = current_tenant_id()) AND (EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = profiles.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = 'admin'::user_role)))))",null
public,profiles,profiles_insert,PERMISSIVE,{public},INSERT,null,true
public,profiles,profiles_select_own,PERMISSIVE,{public},SELECT,"((auth.uid() = user_id) OR ((tenant_id = current_tenant_id()) AND (EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = profiles.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = ANY (ARRAY['admin'::user_role, 'instructor'::user_role])))))))",null
public,profiles,profiles_update_own,PERMISSIVE,{public},UPDATE,((auth.uid() = user_id) AND (tenant_id = current_tenant_id())),null
public,promotions,promotions_admin_manage,PERMISSIVE,{public},ALL,"((tenant_id = current_tenant_id()) AND (EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = promotions.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = 'admin'::user_role)))))",null
public,promotions,promotions_insert_staff,PERMISSIVE,{public},INSERT,null,"((tenant_id = current_tenant_id()) AND (EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = promotions.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = ANY (ARRAY['admin'::user_role, 'professor'::user_role]))))))"
public,promotions,promotions_select_own,PERMISSIVE,{public},SELECT,((auth.uid() = user_id) AND (tenant_id = current_tenant_id())),null
public,promotions,promotions_select_staff,PERMISSIVE,{public},SELECT,"((tenant_id = current_tenant_id()) AND (EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = promotions.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = ANY (ARRAY['admin'::user_role, 'professor'::user_role]))))))",null
public,tenant_members,Tenant admins can manage tenant members,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = tenant_members.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = 'admin'::user_role))))",null
public,tenant_members,Users can view own tenant memberships,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,tenants,Anyone can read active tenants by slug,PERMISSIVE,{public},SELECT,(is_active = true),null
public,tenants,Tenant owners can update own tenant,PERMISSIVE,{public},UPDATE,(owner_user_id = auth.uid()),null
public,videos,videos_admin_manage,PERMISSIVE,{public},ALL,"((tenant_id = current_tenant_id()) AND (EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = videos.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = 'admin'::user_role)))))",null
public,videos,videos_select,PERMISSIVE,{public},SELECT,((is_active = true) AND (tenant_id = current_tenant_id())),null
public,waitlist,waitlist_admin_manage,PERMISSIVE,{public},ALL,"((tenant_id = current_tenant_id()) AND (EXISTS ( SELECT 1
   FROM tenant_members tm
  WHERE ((tm.tenant_id = waitlist.tenant_id) AND (tm.user_id = auth.uid()) AND (tm.role = 'admin'::user_role)))))",null
public,waitlist,waitlist_select_own,PERMISSIVE,{public},SELECT,((auth.uid() = user_id) AND (tenant_id = current_tenant_id())),null
